CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25074717,EMEF MARIINHA BORBOREMA,2009,2.6
25074717,EMEF MARIINHA BORBOREMA,2011,3.3
25074717,EMEF MARIINHA BORBOREMA,2013,3.6
25074717,EMEF MARIINHA BORBOREMA,2015,4.1
25074717,EMEF MARIINHA BORBOREMA,2017,5.1
25074733,EMEF MELO LEITAO,2005,3.3
25074733,EMEF MELO LEITAO,2007,2.9
25074733,EMEF MELO LEITAO,2009,4
25074733,EMEF MELO LEITAO,2011,4.9
25074733,EMEF MELO LEITAO,2013,4.3
25074733,EMEF MELO LEITAO,2015,3.4
25074733,EMEF MELO LEITAO,2017,5.9
25074741,EMEF MONSENHOR SALES,2007,3.3
25074741,EMEF MONSENHOR SALES,2011,4.3
25074741,EMEF MONSENHOR SALES,2013,4.8
25074741,EMEF MONSENHOR SALES,2015,5.1
25074741,EMEF MONSENHOR SALES,2017,5.1
25074776,EMEF PADRE CORNELIO BOER,2007,4
25074776,EMEF PADRE CORNELIO BOER,2009,4.7
25074776,EMEF PADRE CORNELIO BOER,2013,5
25074776,EMEF PADRE CORNELIO BOER,2015,5.3
25074776,EMEF PADRE CORNELIO BOER,2017,6.3
25074792,EMEF PE EMIDIO VIANA CORREIA,2007,3.3
25074792,EMEF PE EMIDIO VIANA CORREIA,2009,2.9
25074792,EMEF PE EMIDIO VIANA CORREIA,2011,4.1
25074792,EMEF PE EMIDIO VIANA CORREIA,2013,4.1
25074792,EMEF PE EMIDIO VIANA CORREIA,2015,4.6
25074792,EMEF PE EMIDIO VIANA CORREIA,2017,5.4
25074806,EMEF POETA ALVARO G PINHEIRO,2007,3.2
25074806,EMEF POETA ALVARO G PINHEIRO,2009,4.6
25074806,EMEF POETA ALVARO G PINHEIRO,2011,3.9
25074806,EMEF POETA ALVARO G PINHEIRO,2013,4.1
25074806,EMEF POETA ALVARO G PINHEIRO,2015,5.2
25074806,EMEF POETA ALVARO G PINHEIRO,2017,6
25074814,EMEF PRESIDENTE KENNEDY,2007,3
25074814,EMEF PRESIDENTE KENNEDY,2009,3.7
25074814,EMEF PRESIDENTE KENNEDY,2011,4.5
25074814,EMEF PRESIDENTE KENNEDY,2013,4.2
25074814,EMEF PRESIDENTE KENNEDY,2015,4.9
25074814,EMEF PRESIDENTE KENNEDY,2017,5
25074865,EMEF PROF CAPIBA,2007,3.9
25074865,EMEF PROF CAPIBA,2009,4.3
25074865,EMEF PROF CAPIBA,2011,4.2
25074865,EMEF PROF CAPIBA,2013,5.2
25074890,EMEF PROF MIRON,2005,3.8
25074890,EMEF PROF MIRON,2007,3
25074890,EMEF PROF MIRON,2011,4.7
25074890,EMEF PROF MIRON,2013,3.2
25074890,EMEF PROF MIRON,2015,3.8
25074890,EMEF PROF MIRON,2017,3.5
25074903,EMEF PROFESSORA NELY DE LIMA E MELO,2007,3
25074903,EMEF PROFESSORA NELY DE LIMA E MELO,2009,3.3
25074903,EMEF PROFESSORA NELY DE LIMA E MELO,2011,3.5
25074903,EMEF PROFESSORA NELY DE LIMA E MELO,2013,2.9
