CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25076930,EMEF SAO CLEMENTE,2013,2.4
25076930,EMEF SAO CLEMENTE,2015,2.8
25108662,EMEF CEAI DR JOAO PEREIRA DE ASSIS,2007,2.9
25108662,EMEF CEAI DR JOAO PEREIRA DE ASSIS,2009,3
25108662,EMEF CEAI DR JOAO PEREIRA DE ASSIS,2011,2.5
25108662,EMEF CEAI DR JOAO PEREIRA DE ASSIS,2013,3.5
25108662,EMEF CEAI DR JOAO PEREIRA DE ASSIS,2015,3.7
25108662,EMEF CEAI DR JOAO PEREIRA DE ASSIS,2017,4.1
25111345,EEEF AROLDO CRUZ FILHO,2005,2.9
25111345,EEEF AROLDO CRUZ FILHO,2007,2.7
25111345,EEEF AROLDO CRUZ FILHO,2009,2.3
25111345,EEEF AROLDO CRUZ FILHO,2011,1.8
25114034,EEEF DOM HELDER CAMARA,2005,4.6
25114034,EEEF DOM HELDER CAMARA,2007,4.5
25114034,EEEF DOM HELDER CAMARA,2009,3.4
25114034,EEEF DOM HELDER CAMARA,2011,3.7
25114034,EEEF DOM HELDER CAMARA,2013,3.9
25114034,EEEF DOM HELDER CAMARA,2015,3.5
25114034,EEEF DOM HELDER CAMARA,2017,4.1
25114433,EEEF SENADOR HUMBERTO LUCENA,2005,3.7
25114433,EEEF SENADOR HUMBERTO LUCENA,2007,3.1
25114433,EEEF SENADOR HUMBERTO LUCENA,2009,3.4
25114433,EEEF SENADOR HUMBERTO LUCENA,2011,3
25114433,EEEF SENADOR HUMBERTO LUCENA,2013,2.6
25114433,EEEF SENADOR HUMBERTO LUCENA,2015,3.5
25114433,EEEF SENADOR HUMBERTO LUCENA,2017,3.5
25114808,EEEFM PROF ITAN PEREIRA,2005,3.2
25114808,EEEFM PROF ITAN PEREIRA,2007,2
25114808,EEEFM PROF ITAN PEREIRA,2009,2.6
25114808,EEEFM PROF ITAN PEREIRA,2011,2
25114808,EEEFM PROF ITAN PEREIRA,2013,3.5
25114808,EEEFM PROF ITAN PEREIRA,2015,4.2
25114808,EEEFM PROF ITAN PEREIRA,2017,4.6
25117459,EEEFM PREFEITO WILLIAMS DE SOUSA ARRUDA,2005,2.4
