Cod_setor,Situacao_setor,Pessoas residentes,V002,V003,V004,V005,V006
250200305000007,8,281,84,2,4,191,0
250200305000008,8,427,116,20,6,285,0
250200305000009,8,311,161,0,7,143,0
250200305000010,8,135,8,1,0,126,0
250200305000011,8,148,9,1,6,132,0
250200305000012,8,153,18,4,0,131,0
250200305000013,8,201,40,0,0,161,0
250200305000014,1,867,305,35,8,519,0
250200305000015,1,507,131,21,18,337,0
250200305000016,1,687,265,31,30,361,0
250205205000001,1,858,360,13,9,476,0
250205205000002,8,774,238,42,0,494,0
250205205000003,8,619,248,68,11,292,0
250205205000004,5,356,84,26,8,238,0
250205205000005,5,468,155,0,4,309,0
250210205000001,1,1359,428,211,25,695,0
250210205000002,1,970,471,7,0,492,0
250210205000003,1,1193,351,116,34,692,0
